,selected_model,mean_accuracy
111,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.02, max_depth=2,
              random_state=80, subsample=0.8, use_label_encoder=False)",0.5297029702970297
112,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.05, max_depth=2,
              random_state=66, subsample=0.8, use_label_encoder=False)",0.5435643564356436
113,"XGBClassifier(eval_metric='auc', gamma=1, max_depth=2, random_state=4,
              subsample=0.8, use_label_encoder=False)",0.5306930693069308
114,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.2, max_depth=2,
              random_state=27, subsample=0.8, use_label_encoder=False)",0.508910891089109
115,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.01, max_depth=2,
              n_estimators=150, random_state=34, subsample=0.8,
              use_label_encoder=False)",0.5277227722772277
116,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.02, max_depth=2,
              n_estimators=150, random_state=3, subsample=0.8,
              use_label_encoder=False)",0.5217821782178218
117,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.05, max_depth=2,
              n_estimators=150, random_state=78, subsample=0.8,
              use_label_encoder=False)",0.5257425742574258
118,"XGBClassifier(eval_metric='auc', gamma=1, max_depth=2, n_estimators=150,
              random_state=50, subsample=0.8, use_label_encoder=False)",0.5207920792079207
119,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.2, max_depth=2,
              n_estimators=150, random_state=76, subsample=0.8,
              use_label_encoder=False)",0.5178217821782178
120,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.01, n_estimators=25,
              random_state=96, subsample=0.8, use_label_encoder=False)",0.5168316831683167
121,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.02, n_estimators=25,
              random_state=80, subsample=0.8, use_label_encoder=False)",0.5326732673267326
122,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.05, n_estimators=25,
              random_state=15, subsample=0.8, use_label_encoder=False)",0.5366336633663366
123,"XGBClassifier(eval_metric='auc', gamma=1, n_estimators=25, random_state=98,
              subsample=0.8, use_label_encoder=False)",0.5118811881188119
124,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.2, n_estimators=25,
              random_state=100, subsample=0.8, use_label_encoder=False)",0.501980198019802
125,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.01, n_estimators=50,
              random_state=26, subsample=0.8, use_label_encoder=False)",0.5257425742574258
126,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.02, n_estimators=50,
              random_state=91, subsample=0.8, use_label_encoder=False)",0.5356435643564357
127,"XGBClassifier(eval_metric='auc', gamma=1, learning_rate=0.05, n_estimators=50,
              random_state=60, subsample=0.8, use_label_encoder=False)",0.5376237623762377
128,"XGBClassifier(eval_metric='auc', gamma=1, n_estimators=50, random_state=51,
              subsample=0.8, use_label_encoder=False)",0.5148514851485149
